Year,Term,YearTerm,Subject,Number,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
2024,Spring,2024-sp,AAS,100,Intro Asian American Studies,DIS,2,4,5,2,4,3,2,0,0,0,0,0,0,0,"Zheng, Reanne"
2024,Spring,2024-sp,AAS,100,Intro Asian American Studies,DIS,5,11,4,0,1,0,0,0,1,0,0,0,0,0,"Wang, Yu"
2024,Spring,2024-sp,AAS,200,U.S. Race and Empire,LCD,0,31,1,0,1,0,0,0,0,0,0,0,1,0,"Sawada, Emilia R"
2024,Spring,2024-sp,ABE,152,Water in Global Environment,ONL,161,77,0,0,4,0,0,0,0,0,0,0,2,1,"Kalita, Prasanta K"
2024,Spring,2024-sp,ABE,498,Special Topics,LCD,8,29,6,2,0,0,0,0,0,0,0,0,0,1,"Wang, Xinlei"
2024,Spring,2024-sp,ACCY,200,Fundamentals of Accounting,ONL,43,59,32,23,20,6,4,1,0,2,1,0,5,0,"Zhang, Li"
2024,Spring,2024-sp,ACCY,200,Fundamentals of Accounting,ONL,98,82,40,26,22,8,8,6,0,2,1,0,0,0,"Green, Danielle H"
2024,Spring,2024-sp,ACCY,200,Fundamentals of Accounting,LCD,11,11,4,5,3,2,0,0,0,0,1,0,0,0,"Zhang, Li"
2024,Spring,2024-sp,ACCY,201,Accounting and Accountancy I,LEC,57,32,15,9,11,10,7,10,9,0,3,6,4,4,"Fisher, Mitchell B"
2024,Spring,2024-sp,ACCY,201,Accounting and Accountancy I,LEC,94,38,20,12,8,5,5,9,6,1,0,4,1,1,"Fisher, Mitchell B"
2024,Spring,2024-sp,ACCY,201,Accounting and Accountancy I,LEC,10,5,2,3,0,1,0,0,1,0,0,0,0,1,"Fisher, Mitchell B"
2024,Spring,2024-sp,ACCY,202,Accounting and Accountancy II,LEC,28,41,26,26,31,17,13,13,6,0,5,0,1,0,"Shapland, Julia P"
2024,Spring,2024-sp,ACCY,202,Accounting and Accountancy II,LEC,5,21,18,16,33,13,12,9,8,0,3,0,3,1,"Shapland, Julia P"
2024,Spring,2024-sp,ACCY,202,Accounting and Accountancy II,LEC,9,9,3,2,3,1,0,1,1,0,0,0,0,0,"Shapland, Julia P"
2024,Spring,2024-sp,ACCY,301,Atg Measurement & Disclosure,LCD,9,5,7,4,1,2,0,0,1,1,0,0,0,0,"Pieper, Lena"
2024,Spring,2024-sp,ACCY,301,Atg Measurement & Disclosure,LCD,1,3,8,2,7,3,2,2,2,0,0,0,0,0,"Johnson, Jennifer A"
2024,Spring,2024-sp,ACCY,301,Atg Measurement & Disclosure,LCD,3,5,3,7,4,7,1,1,0,0,0,0,1,0,"Johnson, Jennifer A"
2024,Spring,2024-sp,ACCY,301,Atg Measurement & Disclosure,LCD,1,11,6,6,1,1,2,0,1,0,0,0,0,0,"Mongold, Cassie A"
2024,Spring,2024-sp,ACCY,301,Atg Measurement & Disclosure,LCD,3,8,4,1,5,1,3,2,2,0,1,0,0,0,"Pieper, Lena"
2024,Spring,2024-sp,ACCY,301,Atg Measurement & Disclosure,LCD,0,11,3,2,4,3,3,0,2,0,0,0,0,1,"Mongold, Cassie A"
2024,Spring,2024-sp,ACCY,302,Decision Making for Atg,LCD,5,8,7,6,2,1,1,1,1,0,0,0,0,0,"Sani, Jalal"
2024,Spring,2024-sp,ACCY,302,Decision Making for Atg,LCD,11,6,2,5,4,2,2,0,0,0,0,0,0,0,"Sani, Jalal"
2024,Spring,2024-sp,ACCY,302,Decision Making for Atg,LCD,8,5,2,5,5,3,1,1,0,0,0,0,0,0,"Sani, Jalal"
2024,Spring,2024-sp,ACCY,302,Decision Making for Atg,LCD,2,7,9,4,3,3,4,0,0,0,0,0,0,0,"Sani, Jalal"
2024,Spring,2024-sp,ACCY,302,Decision Making for Atg,LCD,4,7,7,5,2,2,1,1,1,1,1,0,0,0,"Samet, Jordan A"
2024,Spring,2024-sp,ACCY,302,Decision Making for Atg,LCD,7,7,3,5,4,2,1,2,0,0,1,0,1,0,"Sani, Jalal"
2024,Spring,2024-sp,ACCY,303,Atg Institutions and Reg,LCD,3,14,6,4,2,2,0,1,0,0,0,0,0,0,"Schwartz, Rachel"
2024,Spring,2024-sp,ACCY,303,Atg Institutions and Reg,LCD,11,2,3,3,4,4,1,1,2,0,0,0,0,0,"Pachera, Susan"
2024,Spring,2024-sp,ACCY,303,Atg Institutions and Reg,LCD,1,5,3,0,6,3,2,1,0,0,2,0,3,0,"Schwartz, Rachel"
2024,Spring,2024-sp,ACCY,303,Atg Institutions and Reg,LCD,6,14,3,2,4,1,0,0,0,0,1,0,0,0,"Schwartz, Rachel"
2024,Spring,2024-sp,ACCY,303,Atg Institutions and Reg,LCD,9,5,6,2,3,1,1,3,1,0,1,0,0,0,"Pachera, Susan"
2024,Spring,2024-sp,ACCY,303,Atg Institutions and Reg,LCD,4,8,6,4,2,2,4,0,0,1,1,0,0,0,"Pachera, Susan"
2024,Spring,2024-sp,ACCY,304,Accounting Control Systems,LCD,2,9,5,3,12,1,0,1,0,0,0,0,0,0,"Kink, Dawn M"
2024,Spring,2024-sp,ACCY,304,Accounting Control Systems,LCD,1,8,8,2,8,1,0,2,0,0,1,0,0,0,"Hayne, Christie"
2024,Spring,2024-sp,ACCY,304,Accounting Control Systems,LCD,4,10,4,4,3,1,1,1,1,1,2,0,0,0,"Hayne, Christie"
2024,Spring,2024-sp,ACCY,304,Accounting Control Systems,LCD,1,9,7,3,9,1,2,0,0,0,0,0,0,1,"Kink, Dawn M"
2024,Spring,2024-sp,ACCY,304,Accounting Control Systems,LCD,5,7,6,2,5,5,1,2,0,0,0,0,0,0,"Dahle, Andrew J"
2024,Spring,2024-sp,ACCY,304,Accounting Control Systems,LCD,3,6,3,2,4,0,1,3,0,0,0,0,0,0,"Hayne, Christie"
2024,Spring,2024-sp,ACCY,312,Principles of Taxation,LCD,1,9,4,7,4,0,0,1,0,0,0,0,0,0,"Hutchens, Michelle L"
2024,Spring,2024-sp,ACCY,312,Principles of Taxation,LCD,0,5,2,4,5,5,0,0,1,1,0,0,1,0,"Hutchens, Michelle L"
2024,Spring,2024-sp,ACCY,312,Principles of Taxation,LCD,0,6,6,4,3,3,1,1,0,0,0,0,0,0,"Hutchens, Michelle L"
2024,Spring,2024-sp,ACCY,312,Principles of Taxation,LCD,6,5,0,6,4,0,0,2,0,0,1,0,0,0,"Osswald, Benjamin"
2024,Spring,2024-sp,ACCY,312,Principles of Taxation,LCD,1,6,3,3,10,3,0,1,0,0,0,0,0,0,"Osswald, Benjamin"
2024,Spring,2024-sp,ACCY,312,Principles of Taxation,LCD,0,8,3,3,4,3,0,2,0,0,0,0,0,0,"Holder, Charles B"
2024,Spring,2024-sp,ACCY,398,Practical Problems in Atg,ONL,0,84,0,0,1,0,0,4,0,0,0,0,0,0,"Hutchens, Matthew"
2024,Spring,2024-sp,ACCY,405,Assurance and Attestation,LCD,0,16,2,1,8,0,0,0,0,0,0,0,0,0,"Rogowski, Edward J"
2024,Spring,2024-sp,ACCY,405,Assurance and Attestation,LCD,3,7,8,5,3,0,1,0,0,0,0,0,0,0,"Chatterton, Angel"
2024,Spring,2024-sp,ACCY,405,Assurance and Attestation,LCD,0,8,9,5,3,1,1,0,0,0,0,0,0,0,"Ciconte, William"
2024,Spring,2024-sp,ACCY,405,Assurance and Attestation,LCD,7,4,2,5,7,0,1,0,0,0,0,0,0,0,"Dahle, Andrew J"
2024,Spring,2024-sp,ACCY,405,Assurance and Attestation,LCD,0,3,7,4,1,3,1,1,0,0,2,0,0,0,"Ciconte, William"
2024,Spring,2024-sp,ACCY,410,Advanced Financial Reporting,LCD,2,5,3,3,4,2,1,1,0,0,0,0,0,0,"Kustanovich, Michael"
2024,Spring,2024-sp,ACCY,410,Advanced Financial Reporting,LCD,2,4,4,2,4,1,0,3,0,1,1,0,0,0,"Steward, Cynthia G"
2024,Spring,2024-sp,ACCY,410,Advanced Financial Reporting,LCD,4,4,6,6,4,0,0,0,0,0,0,0,2,0,"Chen, Ciao-Wei"
2024,Spring,2024-sp,ACCY,410,Advanced Financial Reporting,LCD,0,4,7,3,10,4,1,1,0,0,0,0,0,0,"Kustanovich, Michael"
2024,Spring,2024-sp,ACCY,410,Advanced Financial Reporting,LCD,6,5,3,1,5,3,1,1,0,0,0,0,0,0,"Steward, Cynthia G"
2024,Spring,2024-sp,ACCY,410,Advanced Financial Reporting,LCD,2,1,8,1,6,4,2,2,1,0,0,0,0,0,"Chen, Ciao-Wei"
2024,Spring,2024-sp,ACCY,449,Tax in Action - VITA,ONL,0,49,0,0,3,0,0,0,0,0,0,0,0,0,"Alt, Amanda J"
2024,Spring,2024-sp,ACCY,451,Advanced Income Tax Problems,LCD,10,2,5,1,2,0,0,1,1,0,0,0,0,0,"Alt, Amanda J"
2024,Spring,2024-sp,ACCY,451,Advanced Income Tax Problems,LCD,0,15,0,0,11,0,0,4,0,0,1,0,0,0,"Holder, Daniel E"
2024,Spring,2024-sp,ACCY,451,Advanced Income Tax Problems,LCD,0,15,1,1,1,0,1,2,0,0,0,0,0,0,"Holder, Charles B"
2024,Spring,2024-sp,ACCY,451,Advanced Income Tax Problems,LCD,11,7,2,0,5,2,1,2,1,0,0,0,0,0,"Alt, Amanda J"
2024,Spring,2024-sp,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",ONL,320,119,33,26,17,4,0,0,0,1,0,0,3,0,"Urcan, Oktay"
2024,Spring,2024-sp,ACCY,501,Accounting Analysis I A,ONL,11,39,14,13,9,1,0,2,0,0,0,0,5,1,"Augusto Sampaio, Gerlando"
2024,Spring,2024-sp,ACCY,501,Accounting Analysis I B,ONL,24,22,16,10,9,4,5,2,1,0,0,0,3,0,"Augusto Sampaio, Gerlando"
2024,Spring,2024-sp,ACCY,502,Accounting Analysis II A,ONL,21,33,14,15,16,5,6,5,3,0,0,0,0,2,"Evans, Margaret C"
2024,Spring,2024-sp,ACCY,502,Accounting Analysis II B,ONL,16,36,10,12,19,9,4,7,2,0,0,0,0,0,"Evans, Margaret C"
2024,Spring,2024-sp,ACCY,503,Managerial Accounting,LCD,0,8,5,5,12,2,5,3,0,0,0,0,0,0,"Herbold, T J"
